Tweet;komentar;Sentimen
154;Sebaiknya SDM yang sudah memasuki lansia segera digantikan dengan yang lebih kompeten. | | Cari yang muda muda berdasarkan kemampuan nya dibidang IT. ;Positif
155;Ganti generasi yg muda2 aja pak;Netral
156;Hackers itu adalah sbg Audit kinerja para Pakar IT,  BIN,  Kominfo dan lainnya. | | Harusnya jgn terlalu menyalakan hacker tapi menyalahkan diri sendiri atas kelemahan2an yg ada. ;Positif
157;Pendapat pribadi nih,  orng klao udh di atas 50 sdh tidak produktif untuk mengikuti perkembangan teknologi. | | Jd sebaiknya untuk keminfo sendiri di isi anak2 muda,  yg masih memiliki kreatifitas di bidangnya. | | Sedangkan untuk yg sudah memasuki usia 50 sebaiknya jgn di beri tanggung jwb untuk mengelola. | | Apa lagi untuk TI sendiri peralihan teknologi dari yg lama ke baru terjadi sangat2 cepat sehingga sulit di ikuti seiring bertambahnya usia;Positif
158;Orang orang pintar amanah berakal sehat mampu mengusut tuntas dibanggakan semua orang agar semua yg merugikan terbongkar semua;Positif
159;"TIDAK ADA SYSTEM YANG AMAN
Jadi tidak ada hal yang mustahil system yang di anggap maximalpun keamananya tetap akan bisa DiBOBOL, 
Lebih baik perbaiki kesalahan diri masing masing. ";Positif
160;adanya hacker ini agar pemerintah lebih berhati2 lagi;Positif
161;Lebih sigap n sefty adalah cara aman;Positif
162;Menjadi pelajaran Baru buat pemerintah, sehingga dapat berbenah diri;Positif
163;Sistim siber lemah| | | Memang kebocoran data, namun memang sayapun belajar dan ingin tahu isi aplikasi. Memang risih tetapi yang jadi khawatir terhadap anak- anak sekolah. | | Saya rasa penyebab kebocoran data bukan dari siber lemah. Tetapi ke siapa perusahaan berjoinnya. | | China punya pesawat yang sangat panjang dan besar. Yang mungkin pesawat tersebut untuk menyadap dan menebarkan virus sehingga siber- siber itu mudah lemah sehingga data- data yg ada menyebabkan kebocoran. Atau memang sudah di racik sebelum data- data itu di jual ke publik. | | Tidak jauh ke situ. Kalau merucek dan ngericek sistim sampai pak jokowi belajar sepeda sampai bisapun tidak akan bertemu tituk lemahnya. | | Hehehe. . . . by. . . . ;Netral
164;Iya bener harus di validasi dulu lah orang data juga dari dulu juga banyak data,   ya tapi ga ada efek nya di hack juga kalo ada efek Ngtif sikat hacker nya aja sampe ketemu kalo ga mau di hack non aktifkan internet wow;Netral
165;Peratama ngomong benar. . . perbanyak keamanan hacking indonesia. . . atau siber. . . | | Cari pakar it yn pinter pinter. . . agar data pemerintah tak bisa di bobol. . . | | Angaran harus banyak. . . . ;Positif
166;Jika benar ulah bjorka ini maka sistem informasi pertahanan negara| Sisfohanneg|  harus lbih fokus mningktkn sistem keamanan data| krna kjdian ini mrupakan sinyal alamat lemahnya sisfohanneg. | | Tapi sya berharap ini bukan ulah buzzerp yg memainkan skenario baru ala Tsun zhu untuk menenggelamkn ikhwal kejahatan gerombolan sambo serta kebijakan kejam hrg bbm yg membuat rakyat kecil makin tersungkur dlm hidup nestapa yg panjang;Netral
167;Data bocor juga tidak pyur dari keamanan yg kurang baik| | Tp kadang penguna , atau masyarakat nya ngk hati2 masuk ke situs link, | | Kadang cuma karena uang 10k pada  siap masukin data ke situs, wab. ;Netral
168;Gak heran kita juga rakyat tau keamanan kita lemah krn dia penindas rakyatnya| | Semoga kedepannya lebih bagus;Netral
169;Begitu banyak Hacker di Indonesia, terlepas dari baik buruk nya seorang hacker, menurut saya selalu ada sisi baik yang bisa di ambil. | | Seharus nya pemerintah merangkul mereka bagaimana memajukan tingkat keamanan siber di negara kita. | | Tapi yang terjadi malah sebaliknya, mereka di musuhi dan bahkan di penjara. ;Positif
170;Data di situs pemerintah gak perlu di hack. . . .  sudah ada semua disitu untuk diakses publik.  ;Netral
171;Biaya ciber security dalam proyek pembuatan situs/ aplikasi pemerintahan biasanya dipangkas habis2an atau malah gak ada. ;Negatif
172;Ironis sih,  di tengah maju nya digitalisasi di kalangan masyarakat dengan hadir nya software house atau masuk nya perusahaan luar seperti google di indonesia yang mana sudah jelas didalam ada para GDE dari indonesia.  Pemerintah masih belum bisa mengahdirkan digitalisasi yang baik dalam hal keamanan.  Padahal banyak orang Indonesia yang hebat banget di bidang hacker,  software engineer,  data security dan lain nya;Negatif
173;"yang ngurusin keamanan cyber di indo siapa sih ? kominfo kah ? coba dong diadu sama hacker,  buat mastiin mereka tuh bener""  pinter atau kepilih karna ujian tertulis doang. ";Negatif
174;sehebat apapun keamanannya, .  hacker paling jago itu data digital,  di +62 mungkin data pribadi sebagian blm jadi perhatian,  kadang foto kopi kk jadi bungkus nasi uduk. .  saking cueknya dengan kerahasiaan data;Negatif
175;Jd org kaya di indonesia 🇮🇩 percuma ya kalau data pribadi rawan dicuri.  Pasti bisa disalah gunakan org lain.   Yah menurun lagi kepercayaan rakyat kpd pemerintahan. ;Negatif
176;Emang kenapa kalau negara luar datanya bocor apa urusannya sama yg di dalam negeri ;Netral
177;Data pribadi bocor??dari bpjs aja sudah bocor!!!jgn harap data pribadi rakyat Indonesia aman!!!!jadi sekarang mah tidak usa pedulikan data pribadi, karena sudah pasti tersebar luas bahkan sampai keluar negri!!!;Negatif
178;Data pribadi nasabah yg macet sering disalah gunakan pinjol.  Tp orang g kapok buat hutang ke pinjol karena terlilit kebutuhan hidup;Netral
179;wajar sih gampang dibobol,  mungkin uangnya habis buat dikorupsi makanya gak bisa bayar ahli cyber,  kalaupun dibayar itupun belum sesuai standar it security;Negatif
180;""" ngeri ya keamanan data di negeri ku""  ujarku yang biasa foto alamat,  dan data pribadi lainnya ke sosmed.  btw tanpa ceroboh kek gitu juga kadang suka aja bocor. . . ";Netral
181;Haduhh,  masa gaji pejabat pemerintah tinggi2 tapi ga bisa bayar cyber security wkwkwk,  parahh parahhhh;Negatif
182;"Kalimat pembuka dari JUBIR ,  ketahuan mau ""  CUCI TANGAN ""  dengan alasan semua negara menghadapi ANCAMAN SERANGAN CYBER YG SAMA,  jadi kesimpulannya "" KLO BOCOR DATA""  MOHON DI MAKLUM";Negatif
183;Solusi nya tutup pinjol ilegal atau legal agar data aman;Positif
184;Kemarin baru ada isu sertifikat vaksin bisa di sebar luaskan,  untuk itu jangan di cetak,  kasihan orang² percetakan,  selang sehari berita itu up,  ternyata aplikasi pemerintah sendiri yang dibobol. .  haddeh;Negatif
185;Iya tuh data pribadi ,  apalgi smua aplikasi skrng smua pake data ,  mau Gmail,  email,  harusnya amanin d satu hp;Positif
186;jangankan data pribadi untuk gembok kunci ruangan tahanan jugs bisa dicuri oleh napi;Netral
187;aplikasi peduli lindungi aman ga nih? jgn minta kami harus pakai aplikasi itu kl securitynya ga terjamin;Negatif
188;tidak ada yang aman di dalam media digital,  maka dari itu waspada dan berhati- hari dalam bermedia sosial. ;Positif
189;yang nakutin tuh gituu,  data kita bocor trs dipakai orang yg tidak bertanggung jawab buat pinjol;Netral
190;Boro boro peduli cyber security. .  coba lakukan asesmen,  sejauh mana skill para pranata komputernya. . ;Negatif
191;lha iya. .  tapi kan datanya udah kesebar. .  mosok harus ganti data diri? hahahaha ganti data KTP gitu? wkwkwkwkwkwk;Negatif
192;No no, ,  as long as the OLDEST still hold wewenang,  cyber security gaakan berkembang.  Musibah terjadi tanpa nyalahin kegaptekan mereka sendiri. ;Negatif
193;Mau data pribadi lu gembok kaya apa juga. kalau ada hacker sama aja. karena mereka lebih hebat lah;Negatif
194;Data yang akurat merupakan jaminan pemilihan umum yang tidak curang ! ! !;Positif
195;"Jawaban aparatur negara selalu normatif dan melepaskan tanggung jawab dengan kalimat ""  Keamanan adalah kewajiban bersama "" .  Jika begitu,  apa fungsi Lembaga ini secara spesifik?";Negatif
196;Kalo kata para netizen itu benar yaa bahwa di Indonesia ini memang ada jaringan siber yang bisa malah berdampak yang Pstif;Positif
197;Kalo menurut aku tentang kebijakan mengenai dari data - data yang telah dipersiapkan semuanya udah terlihat jelas dan lengkap!!!;Positif
198;Nah yang jadi permasalahan adalah kebocoran data digital banyak terjadi pada sistem pemerintahan dan perusahaan.  Dimana mereka lah yang memegang data pengguna dan rakyatnya.  Hackernya juga nyerang perusahaan dan instansi pemerintah,  bukan personal atau masing- masing rakyatnya. ;Netral
199;bagai mana kita bisa mempertahan kan negara ini. sehingga data data penting negara tidak bocor, tolong lah di perkuat lgi pertahanan dan keamanan ciberr di indonesia. ;Positif
200;Kalo memang itu kepentingan bersama,  tapi harus ada yg bertanggung jawab atas kebocoran data trsbut kecuali masyarakat umum dengan sengaja ngeshare ke sosmed tp klo data dikelola oleh sebuah lembaga Negara lalu bocor apakah itu tanggung jawab rakyat juga.  ;Positif
201;kewajiban bersama. .  mantap sekali.  mereka tinggal bobo saja,  kalau bocor tinggal nyalahin kita masyarakat;Negatif
202;Intinya ada penguasa yg pingin ada proyek,  mungkin proyek ttg keamanan cyber.  Hahaha masak pemberitaan masif   pasti ada pesanan dong wkwkwkwk;Negatif
203;Iya keamanan data adalah keamanan bersama. tapi masa data sampai bocor masih berkata tanggung jawab bersama sih . penyelenggara platformnya dong tanggung jawab kenapa bisa sampai bocor tuh data;Negatif
204;Bagaimana kewajiban bersama sih? Anda suruh mendaftarkan PSE di Kominfo,  Anda bilang akan menjaga kerahasian data.  Tapi setelah ada kasus seperti ini Anda bilang keamanan ditanggung bersama.  Betapa MUNAFIKNYA anda !!!!;Negatif
205;"Iya saya setuju keamanan data keaman milik bersama.  Tapi. . 
Bagaikan kita sedang di jalan raya.  Hati- hati mengemudi keselamatan adalah milik bersama.  Tapi. .  Tugas dan tanggung jawabnya ga sama. ";Negatif
206;Lha kok enak,  sandi negara dibayar pakai pajak rakyat,  kok bilang keamanan bersama,  berarti bahwa badan sandi negara itu bobol dong;Negatif
207;"Keamanan data kewajiban bersama. 
Hey para amatiran,  anda itu digaji oleh pajak rakyat untuk bekerja menjaga data rakyat. 
Klw anda gak mampu menjaga keamanan,  ya gak usah minta data rakyat.  Biar anda tidak makan gaji buta. ";Negatif
208;Keamanan bersama palaloe. . . .  mau lepas tanggung jawab aja;Negatif
209;Usahakan semua data yg penting jngan di simpan d sebuah situs;Positif
210;Bukti negara masih lemah dlm serangan cyber crime, dan jg tidak ada tanggung jwb jika ada pencurian data;Negatif
211;Semoga Undang Undang Cyber crime di Indonesia harus segera di sah kan. ;Positif
212;Jangankan menginformasikan pada masyarakat. . . .  mengakui situsnya jebol saja malu. . . . ;Negatif
213;Pengelola data juga harus bertanggung jawab.  Namaya doang aplikasi pedulilindungi tapi data sampai bocor tidak terlindungi. ;Negatif
214;Bilang aja Kominfo lepas tangan ini yang katanya semua aplikasi digital wajib sharing data? Jaga data KTP warnanya sja g becus mo sok ngurusin data aplikasi global.  Oblok kok di pake. ;Negatif
215;Situs pemerintah emg rawan,  apalagi IT nya cuma lulusan les lesan;Negatif
216;Kebocoran data.  kejadian ini adalah sinyal kritik membangun,  kepada pemerintah untuk bebenah diri menempatkan orang sesuai skill,  bukan karena pinter ngeles,  giliran data bocor,  bukannya memperbaiki tp menyalahkan pihak lain,  pada lempar tanggung jawab.  harusnya ada sikap meminta maaf,  secara jujur harus diakui belum mampu mengamankan data² pribadi masyarakat dengan maksimal.  bukan malah nyuruh untuk menjaga NIK sendiri. ;Positif
217;"harusnya pemerintah lebih banyak uji keamanan cyber yang kita punya bukan cuma bisa ngomong "" kalo bisa jangan nyerang""  tapi dirubah ke "" perbanyak sayembara celah keamanan cyber dengan imbalan yg menggiurkan bagi hacker yang bisa membobol serta memberikan solusi untuk menutup celahnya"" . . .  hacker butuh uang,  pemerintah butuh keamanan. . .  bisa dong kerja sama";Netral
218;Sebetulnya semakin maju kecanggihan elektronik secara tidak sadar kita sudah membocorkan data diri kita sendiri, contohnya penggunaan sidik jari, sensor wajah. ;Netral
219;19: 16 bisa,  solusinya pakai password manager,  tapi benar kata kak nana,  mau seberapa sering kita ganti password di sebuah layanan,  kalau memang databasenya bocor,  nihil,  apalagi hacker biasanya meninggalkan backdoor;Netral
220;"Percuma ,  kalau data kita di bilang tidak bakal bocor itu mustahil,  Karna  masih banyak perusahaan aplikasi yg  di indonesia verifikasi akun hars dengan KTP,   jadi pertanyaan nya apa perusahaan itu bisa amanah jaga KTP kita saat kita verifikasi data utk sebuah akun. . .  
Karna sebuah perusahaan aplikasi bisa menjual data nya buat perusahaan aplikasi lain. . . .  Jadi kalau di bilang pengamanan Indonesia masih lemah,  apa lagi kalau ada duit sangat lemah";Negatif
221;Tengok aja tempat parkir yg lebih sederhana dari kasus bocor data.  Ditempat parkir semuanya tidak bertanggung jawab bila ada kehilangan barang atau motor.  Padahal sudah bayar,  lalu tetap tidak ada jaminan barang hilang.  Yah dari atas kebawah sama - sama bobrok dan klise;Negatif
222;"tingkat keamanan siber di indonesia dari 1 sampai 10 | skala 10 terbaik terdebes| 
adalah 2 pakek doa. ";Negatif
223;Soal bocornya data itu. . ,  salahnya tidak disimpan dikardus,  terus digembok. . ;Netral
224;Data gw bocor dan gw amanin sendiri,  percuma juga lapor  semoga ga ada kerugian material;Negatif
225;"Hackers itu adalah sbg Audit kinerja para Pakar IT,  BIN,  Kominfo dan lainnya. 
Harusnya jgn terlalu menyalakan hacker tapi menyalahkan diri sendiri atas kelemahan2an yg ada. ";Netral
226;Kan sudah ada artikel yg menyebut kalo keamanan cyber dindonesia seperti dijalankan oleh anak umur 14 tahun. . . . . ;Negatif
227;"Pihak dalam pun mengetahui kalo keamanan mereka memang lemah  Bahkan dlu ada anak bangsa jadi hacker pernah meretas NASA tapi sikap pemerintah seolah olah tidak mendukung adanya hacker di Indonesia. 
Semakin banyak yang disembunyikan,  semakin buruk hidup anda. ";Negatif
228;Prosedur dan standar dibikin,  tapi departemen mana saja yg harus implementasi tdk disosialisasikan.  Audit IT security juga tdk dilaksanakan;Negatif
229;Patut diduga jangan² kasus bocornya ID ini ada pihak kementrian pemerintah yg terlibat dengan Mafia bandar judi online.  Parah pemerintah saat ini gak amanah yg kebijakan nya gak berpihak pada rakyat kecil dan slalu menyengsarakan rakyatnya;Negatif
230;RAKYAT BUTUH BUKTI DAN DATA2 YG DETAIL SERTA LENGKAP/ UTUH,  BUKAN CUMA BANTAHAN2 YG BERSIFAT ABSURD  |  OMDO |  TANPA DIDUKUNG OLEH2 DATA2 DAN BUKTI2 YG VALIDITAS KEPERCAYAAN NYA TERJAMIN KEBENARAN NYA;Negatif
231;intinya adalah sdm IT yg kerja dipemerintah tidak kompeten,  karna IT itu sgt saintifik dan tidak bisa dikarang2 seperti hukum,  staff ga ngerti hukum msi bisa berkelit pake logika,  tpi staff ga bisa IT cuman muter2 dialasan payung hukum;Negatif
232;Di tahun 2020 saya pernah ngobrol sama temen,  dan saya sempat bilang hati2 data pribadi kita skrng krn skrng era digital.  Data pribadi kita bisa bisa sjaa salahgunakan oleh oknum- oknum untuk penipuan. ;Netral
233;Rekrut orng2 yang berpengalam dibidang IT untuk pengamanan sistem security indonesia;Positif
234;"Muter""  validasi. . jelas lemah akuin saja lah jika banyak yg tdk ahli bekerja yg di hadapi. . 
Jelas lemah bsn tdk mengakui. . selalu formal"" . pd hal kecepatan mereka selalu bergerak mencuri data.  terus rakyat mau percaya sama siapa untuk mengankan data warga negara ini.  kok kayaknya pemerintah mengelak";Negatif
235;Tantangan bagi pemerintah untuk melakukan rekruitmen pegawai yang kompeten.  Yang benar benar ahli di bidangnya;Positif
236;Pemerintahnya terkesan lepas tangan g mau mengakui kesalahan  orang tua tua keminfo turun semua . . .  Ganti ama pemain baru yg update . . .  Jgn titipan parpol terus;Negatif
237;"Begitu banyak Hacker di Indonesia, terlepas dari baik buruk nya seorang hacker, menurut saya selalu ada sisi baik yang bisa di ambil.  
Seharus nya pemerintah merangkul mereka bagaimana memajukan tingkat keamanan siber di negara kita.  ";Positif
238;Kita harus berterima kasih kepada bjorka karna memang betul adanya keamanan negara kita masih sangat mudah di retas . . semoga pejabat tinggi kedepanya memilik skill bukan pejabat yang banyak mangkir;Negatif
239;Idealnya di bahas bahasaistlah istilah  IT ,  supaya kita sebagian orang orang ahli IT kita faham dan tenang juga.  Sebab yang di hadapi Hecker berkelas. ;Netral
240;mau lemah atau tidak,   enggak  ada urusan.   intinya  kejujuran,  jgn membohongi rakyat.   save bjorka;Negatif
241;Mantap heker indonesia jiwa negara nya, , ,  bongkar hbis kejahatan penjahat di indonesia;Negatif
242;Membuka Data Milik yg katanya pejabat publik yg hanya bisa mengeluarkan statement dan menampilkan prilaku yg MENYAKITKAN RAKYAT Memang Layak Diretas dan Dibuka kepada publik .  Agar publik akhirnya bisa tau SIAPA MEREKA SEBENARNYA;Negatif
243;"Segera pemerintah merubah prinsip
1. angkatlah pejabat sesuai dengan keahliannya bukan karena kedekatan atau karena uang
2. Putra putri indonesia yg ahli IT di beri prioritas dalam penerimaan ASN agar menyeimbangkan perkembangan zaman
3. para hacker yg berasal dari indonesia di rangkul dan di bina, kalau perlu di berikan pekerjaan utk membantu membeckup data2 pemerintah bukan di tangkap atau di binasakan";Positif
244;Semoga bjorka bisa Live buka semua isi Data kpalsuan pemerintahan di semua media Televisi;Negatif
245;ini semua karena tidak ada keamanan ekstra dalam pemerosesan data , semua tidak dienskripsi secara baik dan berkala, sebagai contoh simcard , kita dengan mudah mendaftarkan nik kita , hanya melalui sms , itu terdengar sangat rentan;Negatif
246;Lembaga Sandi Negara adalah lembaga pemerintah nonkementerian Indonesia yang bergerak di bidang pengamanan informasi rahasia negara.  Lembaga ini didirikan pada tanggal 4 April 1946 | Wikipedia| .  BSSN itu cuma perubahan nomenklatur lembaga negara saja Bapak Kepala BSSN. ;Netral
247;sebegitu lemahnya cyber army kita. .  sampai belum bisa melacak atau meng heck balik . .  pelajaran besar buat badan sandi keamanan negara;Negatif
248;Yuk bisa yuk minta anggaran buat mencegah peretasan;Negatif
249;Mudah²an sang hacker ngebocorin semua data pemerintahan ke public spy public bsh tahu kelicikan pemerintah. ;Negatif
250;Sistem keamanan siber tidak lemah.  Hanya saja si bjorka nya  sangat pandai;Negatif
251;Turut prihatin dan khawatir dengan terjadinya lagi dan lagi sistem data keamanan Indonesia yg kerap dibobol oleh hacker.  Ayo Indonesia 🇮🇩 bangkit!;Positif
252;Ranking Indonesia untuk Cyber Security antara terendah di dunia … Singapura dan Malaysia rank 18 dan 19;Negatif
253;"harus lebih rajin lagi untuk bekerja dan mengecek analisa keamanan data. 
masa gampang bgt di bobol sama Bjorka ?";Negatif
254;Hubugany sama covid apa? Kan kerjanya work from home .  Apalagi yang bekerja di bagian IT tidak akan terganggu karna bisa di lakukan dimana saja : | | | ;Negatif
255;"Cara paling aman menyimpan data adalah tidak menaruh data apapun di internet atau yang terhubung dg internet.  
Jika media simpan rusak,  maka data bisa lenyap selamanya,  tanpa ada orang yg tahu sama sekali. ";Netral
256;Kereenn !!! Bobol trus donk biar rame niy negri !!!;Negatif
257;"Ujung2nya tambah anggaran buat memperkuat sistem SIBER bukannya lemah hanya saja yg kerja "" ORANG TITIPAN""  bukan ahli nya!";Negatif
258;Dgn kejadian ini hrsnya berbenah biar lbih serius menjaga;Positif
259;"Ini adalah bentuk kekecewaan dan ketidak percayaan terhadap situasi pemerintah saat ini, 
Salam sehat untuk bjorka";Negatif
260;Ini lah buktinya pemerintah sudah tidak mampu lagi untuk melindungi data dirinya sendiri apalagi melindungi data rakyatnya. ;Negatif
261;"ENAK MEMPERKAYA DIRI SENDIRI AJA KETINBANG MEMBANGUN SISTEM KEAMANAN YANG LEBIH BAIK DAN MEREKRUT ORANG PINTAR YANG ADA NI NEGRI INI |  BEGITULAH KIRA KIRA | 
KASIH PAHAM TERUS BJORKA !!!!!";Negatif
262;Betul itu pak,  para pejabat terkait tidak tahu apa yang kami alami kalau data- data kami dibocorkan oleh hacker.  Bahkan sebelum Bjorka tenar seperti saat ini sudah dari dulu banyak masyarakat yang mendapatkan SMS,  telpon dari nomor asing yang tidak diketahui.  Saya sendiri juga heran,  kenapa e hampir tiap hari ada nomor asing yang masuk? Darimana mereka tahu nomor yang bersangkutan?.  Jujur,  sistem keamanan cyber Indonesia sangat amatlah lemah sehingga data- data penting dapat dibocorkan oleh hacker. ;Negatif
263;Setujuuuu. .  kasus cyber crime ini sdh lamaaa menjamur tp tdk diperbaiki  sekarang pemerintah rasain tu gimana rasanya datanya bocor,  kalangan bawah sudah pernah merasakan penipuan akibat kbocoran data namun tdk ada tanggung jawab dari pihak polisi ataupun instansi terkait;Negatif
264;Jika seringnya dibobol dan dibobol lagi datanya kalau demikian yg bekerja sebagai ITE data tsb kalah pintar dengan ITE yg membobol sebaiknya agar tidak dibobol kembali pekerja ITE nya diganti oleh ITE yg tukang bobol itu ,  bisakah menemukan si pembobol tsb ? Pastinya si pembobol itu ahli ITE yg lebih pintar dari si pembuat data;Negatif
265;Kebocoran menandakan kelemahan institusi pengelola data.  Dimanakah datanya?  Lantas,  mampukah pengelola data untuk mempertanggung jawabkannya?;Netral
266;mantap bjorka.  Kalo ga ada Anda.  Mungkin pemerintah ga akan pernah berbenah diri.  Karena terlalu jumawa punya big data. ;Negatif
267;Ilmu yang dimiliki para penjaga security systim di Indonesia negara dan perbankan kalah jauh dari para hecker. . . . kalau tujuan para hecker itu untuk memeras maka lawan dan hancurkan kalau mampu tapi kalau tujuan para hecker untuk membongkar kejahatan birokrasi Indonesia maka GO ON;Netral
268;Oh badan cyber masih ada toh?;Negatif
269;"Ayo lanjutkan para "" Hacker '  bobol tuh my Pertamina. . . .  rakyat sudah banyak yang menderita karena ' ' kebijakan2""  pemerintah. . . ";Negatif
270;Semua situs di blok dan menjadi lebih sulit memasuki web. . kok bisa malah di hacker. pekerjakan hecker yg sudah di ketahui skill nya jgn yg cuma menguasai komputer saja . . . banyak hecker indo yg hebat dan lebih baik;Negatif
271;Segera kerahkan cyber crime,  bila hacker dalam negeri pergunakan UU Subversiv ,  bila hacker dari LN jalur diplomasi untuk mengejarnya. . ;Positif
272;Ayoo Indonesia prketat keamanan data kita;Positif
273;"Mari hacker Indonesia siapa berani mencaplok data Indonesia.  Mari kita balas.  
Tolong para hacker Indonesia yg paling handal untuk membalas nya. 
Semoga  presiden kami terutama pak Jokowi dan TNI/ polisi membuka lowongan kerja untuk para hacker Indonesia banyak orang pintar handal hacker. ";Negatif
274;"Pertanyaan Mbak Rivana, selemah itukah perlindungan data oleh Negara sehingga bisa dibobol berkali- kali.  
Jawabannya mungkin lemah.  Yang kuat oleh negara adalah MENINDAS RAKYAT DGN SEGALA KEBIJAKANNYA YG UGAL- UGALAN. ";Negatif
275;Bocor terus gak ada perbaikan,  setiap bocor tinggal saling salah- salahan,  terlupakan,  bocor lagi;Negatif
276;kebocoran data negara salah satu ancaman serius bagi indonesia tingkatkan pengamanan yang ketat,  tapi para pejabat menganggap itu cuman data padahal itu mengancam masyarakat indonesia.  tidakkan bjorka memang mencuri data tapi juga membuka mata untuk team cyber negara bahwa indonesia lemah dari sisi pengamanan digitalnya. ;Netral
277;""" Data kita ada di mana2""  ini pernyataan lepas tanggungjawab. .  tidak layak menjadi pejabat pelayan rakyat . . ";Negatif
278;"Bongkar sekalian pengadaan barang jasa,  BPJS,  karena itu sasaran empuk
 lalu 
Publikasi kan";Negatif
279;Selagi mengunakan google apa yang  tidak bocor, berkaca pada Rusia dan caina;Negatif
280;Menkoinfo tak. mampu mengendalikan database masyarakat. . . ;Negatif
281;Kata pejabat kominfo diminta sering ganti password agar data diri aman kok bisa bocor. ;Negatif
282;masa ribuan pns yang ada di Kominfo dan BSSN gak ada yang jago di IT dan bisa bikin software pertahanan serta security hingga di jebol berulang- ulang sama hacker luar negri miris ngeliat nya. . ;Negatif
283;Pemimpin kita sibuk ngurus BBM sampai lupa dengan ruang cyber. ;Negatif
284;ga perlu di goreng terus,  itu hacker ga akan aktiv terus menerus di twitter,  seorang hacker itu klo usdah bobol data hilang.  ga pakai konfirmasi melulu,  jadilah masyarakat indonesia yg cerdas,  bukan yg panic;Negatif
285;"selamat Bjorka, 
Next diangkat menjadi Duta Hacker Cyber Indonesia";Negatif
286;Presenternya jadi ikut emosi,   karena baru sadar data dirinya juga ikut tersebar. . ;Negatif
287;Hehehe udah jebol berulang ulang,  baru sibuk mengamati dan memvalidasi.  Sangat responsif;Negatif
288;gak usah beralibih pak Hinca,  ngaku saja kalau masih ada kekurangan dari segi pengamanan,  sampai sajakan bahwa BSSN dan lembagan terkait pengelolaan bigdata masih butuh improvement;Negatif
289;Kalau untuk kebaikan rakyat Indonesia saya sih mendukung para hacker coy.  Bocorkan saja sudah semua kejahatan2 para pemimpin yg bermasalah.  Tindak tegas semua tanpa pandang bulu.  Sudah waktunya negara ini bersih2 dri para hama yg membuat bau busuk !;Negatif
290;ibarat genteng bocor , jangan salahkan air hujan nya , tapi genteng nya yg perlu di ganti yg bagus;Negatif
291;Infrastruktur IT begitu majunya sayang mengapa tidak disertai dengan benteng keamanan dari serangan heaker? Apakah negeri ini belum siap dengan teknologo IT;Negatif
292;Nasib nasib. . indonesia indonesia. . selemah itu kah sistim mu. . bolak balik di retas miris dan menangis aku mendengarnya. . ;Negatif
293;wuih. . . . keren buanget ini pembobol data . . . | byorka ini sangat perduli sama NKRI,   suka suka menyerang petinggi,  . . . .  entah sampai kapan ,  dia up date kondisi NKRI. . | ;Negatif
294;Perlu ketahui juga,  jgn pernah kaitkan nmor hp wa dgn email. . klo TDK mau di sadap semua isi hp;Negatif
295;"Pantesan. . no hp umum nya di masukin macam2
Rupanya data pemerintah. . sangat mudah data masyarakat di bobol. . ";Negatif
296;Bayak yg gagal faham data masyarakat yg bocor seperti ktp,  kk,  maka bisa di salah gunakan, , , ,  seperti pinjaman online,  menyedap hp,  dan akun piribadi anda. . . ;Netral
297;System pengamanan data Indonesia  masih sangat lemah,  apa kabar kominfo?;Negatif
298;Yg duduk di bidang pengamanan cyber semua nya uda tua dan tidak update ya gitu akibatnya;Negatif
299;"bersyukur terhadap hacker udah ngebobol data pemerintah . . . 
terus berjuang buat para hacker. ";Negatif
300;"Peratama ngomong benar. . . perbanyak keamanan hacking indonesia. . . atau siber. . . 
Cari pakar it yn pinter pinter. . . agar data pemerintah tak bisa di bobol. . . 
Angaran harus banyak. . . . ";Positif
301;"Data bocor juga tidak pyur dari keamanan yg kurang baik 
Tp kadang penguna , atau masyarakat nya ngk hati2 masuk ke situs link, 
Kadang cuma karena uang 10k pada  siap masukin data ke situs, wab. ";Positif
302;Bukan sistem nya yg lemah,  hacker nya aja yang pintar. ;Negatif
303;"pihak pemerintah jgn gaptek dong
biar gk dibobol hackers";Negatif
304;Sistem keamanannya bisa jadi bukannya lemah tpi tidak ada;Negatif
305;Dunia IT memang bukan dunia yg aman,  bahkan sekelas Google,  FB dan CIA pun bisa diretas.  Sebaiknya kita jg ikut menjaga data diri kita,  sekali data diri kita masuk dunia online. . . kita gak bakal tahu siapa yg akan mempergunakannya kelak. ;Positif
306;cyber crime spt dengan mudah mengakses data data penting di republik ini.  Persoalan password yg lemah atau bocor diruang publik menjadi persoalan yg menakutkan. .  bgmn jika terjadi padah ranah ranah privat. .  yg disebar luas utk kepentingan mendegradasi trust publik;Negatif
307;jadi ini -  sebagai sumber KALIM BIG DATA 110jt,  berarti bisajadi adanya kasus PEMBOBOLAN DATA oleh Bjorka juga atas dasar permintaan kita | mereka|  juga untuk kepentingan golongan tertentu;Negatif
308;ditanya apa dijawab apa,  data bocor masih baru mau akan divalidasi. . . . . atap bocor,  air nya yang divalidasi air beneran atau bukan. . . . . . how slow can you go. . . ;Negatif
309;Iya bener harus di validasi dulu lah orang data juga dari dulu juga banyak data,   ya tapi ga ada efek nya di hack juga kalo ada efek Ngtif sikat hacker nya aja sampe ketemu kalo ga mau di hack non aktifkan internet wow;Positif
310;Ya itulah lemah nya . kebocoran data . itulah jadi nya;Negatif
